# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
-1	-0.001	-1	1.376244564
-0.99	-0.00099	-0.99	1.386642747
-0.98	-0.00098	-0.98	1.398664194
-0.97	-0.00097	-0.97	1.410411619
-0.96	-0.00096	-0.96	1.422749374
-0.95	-0.00095	-0.95	1.435609182
-0.94	-0.00094	-0.94	1.446190291
-0.93	-0.00093	-0.93	1.45938403
-0.92	-0.00092	-0.92	1.470538256
-0.91	-0.00091	-0.91	1.483599278
-0.9	-0.0009	-0.9	1.49461246
-0.89	-0.00089	-0.89	1.5077087
-0.88	-0.00088	-0.88	1.520149967
-0.87	-0.00087	-0.87	1.53148487
-0.86	-0.00086	-0.86	1.542351971
-0.85	-0.00085	-0.85	1.553878378
-0.84	-0.00084	-0.84	1.568291421
-0.83	-0.00083	-0.83	1.581356198
-0.82	-0.00082	-0.82	1.593360758
-0.81	-0.00081	-0.81	1.605726778
-0.8	-0.0008	-0.8	1.618082722
-0.79	-0.00079	-0.79	1.631129561
-0.78	-0.00078	-0.78	1.643815513
-0.77	-0.00077	-0.77	1.655217547
-0.76	-0.00076	-0.76	1.668006642
-0.75	-0.00075	-0.75	1.678521212
-0.74	-0.00074	-0.74	1.689058492
-0.73	-0.00073	-0.73	1.699781329
-0.72	-0.00072	-0.72	1.710498092
-0.71	-0.00071	-0.71	1.721409185
-0.7	-0.0007	-0.7	1.733498472
-0.69	-0.00069	-0.69	1.7450452
-0.68	-0.00068	-0.68	1.757896361
-0.67	-0.00067	-0.67	1.769732533
-0.66	-0.00066	-0.66	1.782459739
-0.65	-0.00065	-0.65	1.795165856
-0.64	-0.00064	-0.64	1.806388658
-0.63	-0.00063	-0.63	1.817624557
-0.62	-0.00062	-0.62	1.828581185
-0.61	-0.00061	-0.61	1.839262773
-0.6	-0.0006	-0.6	1.851540082
-0.59	-0.00059	-0.59	1.86246104
-0.58	-0.00058	-0.58	1.873374249
-0.57	-0.00057	-0.57	1.886523177
-0.56	-0.00056	-0.56	1.898500378
-0.55	-0.00055	-0.55	1.909884425
-0.54	-0.00054	-0.54	1.922629815
-0.53	-0.00053	-0.53	1.934783123
-0.52	-0.00052	-0.52	1.945368441
-0.51	-0.00051	-0.51	1.958276677
-0.5	-0.0005	-0.5	1.96975019
-0.49	-0.00049	-0.49	1.980094631
-0.48	-0.00048	-0.48	1.99053081
-0.47	-0.00047	-0.47	2.000933102
-0.46	-0.00046	-0.46	2.013669399
-0.45	-0.00045	-0.45	2.024325465
-0.44	-0.00044	-0.44	2.034853658
-0.43	-0.00043	-0.43	2.04810904
-0.42	-0.00042	-0.42	2.058976863
-0.41	-0.00041	-0.41	2.070883602
-0.4	-0.0004	-0.4	2.081582555
-0.39	-0.00039	-0.39	2.093895103
-0.38	-0.00038	-0.38	2.105045715
-0.37	-0.00037	-0.37	2.116324495
-0.36	-0.00036	-0.36	2.128813908
-0.35	-0.00035	-0.35	2.141702749
-0.34	-0.00034	-0.34	2.153151472
-0.33	-0.00033	-0.33	2.166153805
-0.32	-0.00032	-0.32	2.176860078
-0.31	-0.00031	-0.31	2.189319818
-0.3	-0.0003	-0.3	2.200834002
-0.29	-0.00029	-0.29	2.213688138
-0.28	-0.00028	-0.28	2.224285218
-0.27	-0.00027	-0.27	2.235497187
-0.26	-0.00026	-0.26	2.246951078
-0.25	-0.00025	-0.25	2.258425206
-0.24	-0.00024	-0.24	2.269064269
-0.23	-0.00023	-0.23	2.2797963
-0.22	-0.00022	-0.22	2.29168593
-0.21	-0.00021	-0.21	2.30334212
-0.2	-0.0002	-0.2	2.31638487
-0.19	-0.00019	-0.19	2.327137331
-0.18	-0.00018	-0.18	2.338903004
-0.17	-0.00017	-0.17	2.350757836
-0.16	-0.00016	-0.16	2.36354995
-0.15	-0.00015	-0.15	2.374373254
-0.14	-0.00014	-0.14	2.385579542
-0.13	-0.00013	-0.13	2.397621283
-0.12	-0.00012	-0.12	2.408282192
-0.11	-0.00011	-0.11	2.420077755
-0.1	-0.0001	-0.1	2.431364552
-0.09	-9e-05	-0.09	2.442719383
-0.08	-8e-05	-0.08	2.453732477
-0.07	-7e-05	-0.07	2.464416394
-0.0599999999999999	-5.99999999999999e-05	-0.0599999999999999	2.476672307
-0.0499999999999999	-4.99999999999999e-05	-0.0499999999999999	2.488957898
-0.04	-4e-05	-0.04	2.501896903
-0.03	-3e-05	-0.03	2.514167471
-0.02	-2e-05	-0.02	2.525711829
-0.01	-1e-05	-0.01	2.536493947
0	0	0	2.548602466
0.01	1e-05	0.01	2.559030576
0.02	2e-05	0.02	2.570136381
0.03	3e-05	0.03	2.606267778
0.04	4e-05	0.04	2.618066776
0.05	5e-05	0.05	2.630989549
0.0600000000000001	6.00000000000001e-05	0.0600000000000001	2.643951903
0.0700000000000001	7.00000000000001e-05	0.0700000000000001	2.655039219
0.0800000000000001	8.00000000000001e-05	0.0800000000000001	2.665768093
0.0900000000000001	9.00000000000001e-05	0.0900000000000001	2.676769013
0.1	0.0001	0.1	2.687229513
0.11	0.00011	0.11	2.699093559
0.12	0.00012	0.12	2.709616898
0.13	0.00013	0.13	2.720744309
0.14	0.00014	0.14	2.733298056
0.15	0.00015	0.15	2.744996575
0.16	0.00016	0.16	2.755789158
0.17	0.00017	0.17	2.767224059
0.18	0.00018	0.18	2.777890158
0.19	0.00019	0.19	2.790803738
0.2	0.0002	0.2	2.802577177
0.21	0.00021	0.21	2.813396418
0.22	0.00022	0.22	2.825197528
0.23	0.00023	0.23	2.83641763
0.24	0.00024	0.24	2.84910542
0.25	0.00025	0.25	2.862138471
0.26	0.00026	0.26	2.872900373
0.27	0.00027	0.27	2.883695561
0.28	0.00028	0.28	2.89685579
0.29	0.00029	0.29	2.908018041
0.3	0.0003	0.3	2.920485842
0.31	0.00031	0.31	2.932677866
0.32	0.00032	0.32	2.943518825
0.33	0.00033	0.33	2.954011132
0.34	0.00034	0.34	2.964685266
0.35	0.00035	0.35	2.976523541
0.36	0.00036	0.36	2.988284318
0.37	0.00037	0.37	3.000915925
0.38	0.00038	0.38	3.012164903
0.39	0.00039	0.39	3.022841133
0.4	0.0004	0.4	3.033369103
0.41	0.00041	0.41	3.044002039
0.42	0.00042	0.42	3.055101338
0.43	0.00043	0.43	3.065590093
0.44	0.00044	0.44	3.076220986
0.45	0.00045	0.45	3.086906928
0.46	0.00046	0.46	3.098269236
0.47	0.00047	0.47	3.110776212
0.48	0.00048	0.48	3.122796565
0.49	0.00049	0.49	3.135431308
0.5	0.0005	0.5	3.148312877
0.51	0.00051	0.51	3.160910228
0.52	0.00052	0.52	3.171665033
0.53	0.00053	0.53	3.18239875
0.54	0.00054	0.54	3.192976377
0.55	0.00055	0.55	3.203664882
0.56	0.00056	0.56	3.214458819
0.57	0.00057	0.57	3.225118758
0.58	0.00058	0.58	3.23587652
0.59	0.00059	0.59	3.24730575
0.6	0.0006	0.6	3.257885086
0.61	0.00061	0.61	3.268575324
0.62	0.00062	0.62	3.279157978
0.63	0.00063	0.63	3.289863649
0.64	0.00064	0.64	3.300522586
0.65	0.00065	0.65	3.311268736
0.66	0.00066	0.66	3.321921113
0.67	0.00067	0.67	3.333146346
0.68	0.00068	0.68	3.345631684
0.69	0.00069	0.69	3.357261529
0.7	0.0007	0.7	3.367796387
0.71	0.00071	0.71	3.378918436
0.72	0.00072	0.72	3.389617245
0.73	0.00073	0.73	3.401414081
0.74	0.00074	0.74	3.413536548
0.75	0.00075	0.75	3.426389476
0.76	0.00076	0.76	3.437445833
0.77	0.00077	0.77	3.448984976
0.78	0.00078	0.78	3.459724536
0.79	0.00079	0.79	3.470562795
0.8	0.0008	0.8	3.481439483
0.81	0.00081	0.81	3.494203091
0.82	0.00082	0.82	3.507239291
0.83	0.00083	0.83	3.517922411
0.84	0.00084	0.84	3.52866893
0.85	0.00085	0.85	3.539244372
