# V_set	I	V	t
# "V_appl"	"I_meas"	"V_appl"	"Elapsed time"
# 201
-1	-0.001	-1	11.158688131
-0.99	-0.00099	-0.99	11.169302225
-0.98	-0.00098	-0.98	11.18224225
-0.97	-0.00097	-0.97	11.193032478
-0.96	-0.00096	-0.96	11.205636563
-0.95	-0.00095	-0.95	11.217376703
-0.94	-0.00094	-0.94	11.230151515
-0.93	-0.00093	-0.93	11.240746958
-0.92	-0.00092	-0.92	11.252324865
-0.91	-0.00091	-0.91	11.264709802
-0.9	-0.0009	-0.9	11.275908114
-0.89	-0.00089	-0.89	11.289002175
-0.88	-0.00088	-0.88	11.301190097
-0.87	-0.00087	-0.87	11.312493675
-0.86	-0.00086	-0.86	11.323640405
-0.85	-0.00085	-0.85	11.336645282
-0.84	-0.00084	-0.84	11.348269287
-0.83	-0.00083	-0.83	11.359686742
-0.82	-0.00082	-0.82	11.370721442
-0.81	-0.00081	-0.81	11.382096049
-0.8	-0.0008	-0.8	11.393633869
-0.79	-0.00079	-0.79	11.406237695
-0.78	-0.00078	-0.78	11.418217432
-0.77	-0.00077	-0.77	11.428631437
-0.76	-0.00076	-0.76	11.439515168
-0.75	-0.00075	-0.75	11.449903409
-0.74	-0.00074	-0.74	11.460881604
-0.73	-0.00073	-0.73	11.472208256
-0.72	-0.00072	-0.72	11.484978267
-0.71	-0.00071	-0.71	11.495824115
-0.7	-0.0007	-0.7	11.506433649
-0.69	-0.00069	-0.69	11.51728493
-0.68	-0.00068	-0.68	11.528672917
-0.67	-0.00067	-0.67	11.539004291
-0.66	-0.00066	-0.66	11.550596864
-0.65	-0.00065	-0.65	11.560974617
-0.64	-0.00064	-0.64	11.571874059
-0.63	-0.00063	-0.63	11.582193195
-0.62	-0.00062	-0.62	11.595112644
-0.61	-0.00061	-0.61	11.60555059
-0.6	-0.0006	-0.6	11.618525489
-0.59	-0.00059	-0.59	11.630246268
-0.58	-0.00058	-0.58	11.641028503
-0.57	-0.00057	-0.57	11.651607675
-0.56	-0.00056	-0.56	11.662233031
-0.55	-0.00055	-0.55	11.673556435
-0.54	-0.00054	-0.54	11.684059638
-0.53	-0.00053	-0.53	11.694467956
-0.52	-0.00052	-0.52	11.705008917
-0.51	-0.00051	-0.51	11.716722787
-0.5	-0.0005	-0.5	11.728768236
-0.49	-0.00049	-0.49	11.741032692
-0.48	-0.00048	-0.48	11.752841207
-0.47	-0.00047	-0.47	11.764808403
-0.46	-0.00046	-0.46	11.777671148
-0.45	-0.00045	-0.45	11.789963013
-0.44	-0.00044	-0.44	11.800988125
-0.43	-0.00043	-0.43	11.811694477
-0.42	-0.00042	-0.42	11.8223945
-0.41	-0.00041	-0.41	11.83291038
-0.4	-0.0004	-0.4	11.843536028
-0.39	-0.00039	-0.39	11.853823822
-0.38	-0.00038	-0.38	11.864978007
-0.37	-0.00037	-0.37	11.875625891
-0.36	-0.00036	-0.36	11.886249592
-0.35	-0.00035	-0.35	11.897085165
-0.34	-0.00034	-0.34	11.907811373
-0.33	-0.00033	-0.33	11.920445559
-0.32	-0.00032	-0.32	11.931243179
-0.31	-0.00031	-0.31	11.943499166
-0.3	-0.0003	-0.3	11.956566023
-0.29	-0.00029	-0.29	11.967856291
-0.28	-0.00028	-0.28	11.978760856
-0.27	-0.00027	-0.27	11.99107189
-0.26	-0.00026	-0.26	12.00384001
-0.25	-0.00025	-0.25	12.016113349
-0.24	-0.00024	-0.24	12.027517601
-0.23	-0.00023	-0.23	12.038684929
-0.22	-0.00022	-0.22	12.050810191
-0.21	-0.00021	-0.21	12.063890062
-0.2	-0.0002	-0.2	12.074500941
-0.19	-0.00019	-0.19	12.087129623
-0.18	-0.00018	-0.18	12.099592593
-0.17	-0.00017	-0.17	12.110363957
-0.16	-0.00016	-0.16	12.121211212
-0.15	-0.00015	-0.15	12.134368556
-0.14	-0.00014	-0.14	12.145426159
-0.13	-0.00013	-0.13	12.157596081
-0.12	-0.00012	-0.12	12.169863304
-0.11	-0.00011	-0.11	12.18063768
-0.1	-0.0001	-0.1	12.191618799
-0.09	-9e-05	-0.09	12.203795194
-0.08	-8e-05	-0.08	12.214497806
-0.07	-7e-05	-0.07	12.22729468
-0.0599999999999999	-5.99999999999999e-05	-0.0599999999999999	12.238329265
-0.0499999999999999	-4.99999999999999e-05	-0.0499999999999999	12.248967781
-0.04	-4e-05	-0.04	12.261472153
-0.03	-3e-05	-0.03	12.273454181
-0.02	-2e-05	-0.02	12.284302248
-0.01	-1e-05	-0.01	12.297389341
0	0	0	12.308590992
0.01	1e-05	0.01	12.319998742
0.02	2e-05	0.02	12.330568471
0.03	3e-05	0.03	12.343300822
0.04	4e-05	0.04	12.355656606
0.05	5e-05	0.05	12.36644717
0.0600000000000001	6.00000000000001e-05	0.0600000000000001	12.379745305
0.0700000000000001	7.00000000000001e-05	0.0700000000000001	12.392189506
0.0800000000000001	8.00000000000001e-05	0.0800000000000001	12.40499955
0.0900000000000001	9.00000000000001e-05	0.0900000000000001	12.417518701
0.1	0.0001	0.1	12.430480654
0.11	0.00011	0.11	12.441090992
0.12	0.00012	0.12	12.451718358
0.13	0.00013	0.13	12.462473856
0.14	0.00014	0.14	12.475533659
0.15	0.00015	0.15	12.48712328
0.16	0.00016	0.16	12.498162339
0.17	0.00017	0.17	12.511222659
0.18	0.00018	0.18	12.522427953
0.19	0.00019	0.19	12.534834939
0.2	0.0002	0.2	12.547823098
0.21	0.00021	0.21	12.560894956
0.22	0.00022	0.22	12.572533713
0.23	0.00023	0.23	12.583164111
0.24	0.00024	0.24	12.596185874
0.25	0.00025	0.25	12.606717669
0.26	0.00026	0.26	12.619645346
0.27	0.00027	0.27	12.630293239
0.28	0.00028	0.28	12.641193905
0.29	0.00029	0.29	12.652627606
0.3	0.0003	0.3	12.664989101
0.31	0.00031	0.31	12.675719903
0.32	0.00032	0.32	12.686480417
0.33	0.00033	0.33	12.699026772
0.34	0.00034	0.34	12.710199893
0.35	0.00035	0.35	12.722147028
0.36	0.00036	0.36	12.732752367
0.37	0.00037	0.37	12.743805458
0.38	0.00038	0.38	12.756107133
0.39	0.00039	0.39	12.769155124
0.4	0.0004	0.4	12.782374225
0.41	0.00041	0.41	12.792985719
0.42	0.00042	0.42	12.803797301
0.43	0.00043	0.43	12.814478497
0.44	0.00044	0.44	12.827770897
0.45	0.00045	0.45	12.839093741
0.46	0.00046	0.46	12.850932725
0.47	0.00047	0.47	12.862462281
0.48	0.00048	0.48	12.873648698
0.49	0.00049	0.49	12.884134809
0.5	0.0005	0.5	12.895233554
0.51	0.00051	0.51	12.908017419
0.52	0.00052	0.52	12.920913284
0.53	0.00053	0.53	12.933498611
0.54	0.00054	0.54	12.944892809
0.55	0.00055	0.55	12.957572708
0.56	0.00056	0.56	12.969733572
0.57	0.00057	0.57	12.982305564
0.58	0.00058	0.58	12.994240123
0.59	0.00059	0.59	13.00651872
0.6	0.0006	0.6	13.019168689
0.61	0.00061	0.61	13.032133281
0.62	0.00062	0.62	13.042503329
0.63	0.00063	0.63	13.053629659
0.64	0.00064	0.64	13.06487927
0.65	0.00065	0.65	13.075996645
0.66	0.00066	0.66	13.088875762
0.67	0.00067	0.67	13.10075509
0.68	0.00068	0.68	13.113037859
0.69	0.00069	0.69	13.124414584
0.7	0.0007	0.7	13.136712985
0.71	0.00071	0.71	13.148828788
0.72	0.00072	0.72	13.161549166
0.73	0.00073	0.73	13.173377154
0.74	0.00074	0.74	13.184024226
0.75	0.00075	0.75	13.196543264
0.76	0.00076	0.76	13.207598962
0.77	0.00077	0.77	13.219768058
0.78	0.00078	0.78	13.231111887
0.79	0.00079	0.79	13.24240464
0.8	0.0008	0.8	13.253610311
0.81	0.00081	0.81	13.265671705
0.82	0.00082	0.82	13.278327134
0.83	0.00083	0.83	13.290972246
0.84	0.00084	0.84	13.303610023
0.85	0.00085	0.85	13.315738424
0.86	0.00086	0.86	13.326548441
0.87	0.00087	0.87	13.337215497
0.88	0.00088	0.88	13.347832294
0.89	0.00089	0.89	13.359855409
0.9	0.0009	0.9	13.371563518
0.91	0.00091	0.91	13.383954699
0.92	0.00092	0.92	13.394700759
0.93	0.00093	0.93	13.40596952
0.94	0.00094	0.94	13.418337834
0.95	0.00095	0.95	13.431306911
0.96	0.00096	0.96	13.442430352
0.97	0.00097	0.97	13.452944081
0.98	0.00098	0.98	13.465084889
0.99	0.00099	0.99	13.475805596
1	0.001	1	13.486868788
