# V_set	V_set_0	I	V_0	V_1	t
# "V_appl_1"	"V_appl_2"	"I_meas"	"V_appl_1"	"V_appl_2"	"Elapsed time"
# 201	201
-1	-1	-0.002	-1	-1	65.7135821970001
-1	-0.99	-0.00199	-1	-0.99	65.7245838650001
-1	-0.98	-0.00198	-1	-0.98	65.7368608390002
-1	-0.97	-0.00197	-1	-0.97	65.7489592480001
-1	-0.96	-0.00196	-1	-0.96	65.759499835
-1	-0.95	-0.00195	-1	-0.95	65.7722333450001
-1	-0.94	-0.00194	-1	-0.94	65.783523605
-1	-0.93	-0.00193	-1	-0.93	65.795548302
-1	-0.92	-0.00192	-1	-0.92	65.8082262570001
-1	-0.91	-0.00191	-1	-0.91	65.8193507850001
-1	-0.9	-0.0019	-1	-0.9	65.8299074060001
-1	-0.89	-0.00189	-1	-0.89	65.8405996820002
-1	-0.88	-0.00188	-1	-0.88	65.8521679060002
-1	-0.87	-0.00187	-1	-0.87	65.8642844100002
-1	-0.86	-0.00186	-1	-0.86	65.876768223
-1	-0.85	-0.00185	-1	-0.85	65.8889401410001
-1	-0.84	-0.00184	-1	-0.84	65.8996338710001
-1	-0.83	-0.00183	-1	-0.83	65.9122548500002
-1	-0.82	-0.00182	-1	-0.82	65.9228089210001
-1	-0.81	-0.00181	-1	-0.81	65.933371003
-1	-0.8	-0.0018	-1	-0.8	65.9455905710001
-1	-0.79	-0.00179	-1	-0.79	65.9582919050001
-1	-0.78	-0.00178	-1	-0.78	65.97011748
-1	-0.77	-0.00177	-1	-0.77	65.9828533490002
-1	-0.76	-0.00176	-1	-0.76	65.9935266530001
-1	-0.75	-0.00175	-1	-0.75	66.004377407
-1	-0.74	-0.00174	-1	-0.74	66.014862083
-1	-0.73	-0.00173	-1	-0.73	66.0265308340001
-1	-0.72	-0.00172	-1	-0.72	66.0371408420001
-1	-0.71	-0.00171	-1	-0.71	66.0480456960001
-1	-0.7	-0.0017	-1	-0.7	66.0589752370001
-1	-0.69	-0.00169	-1	-0.69	66.0694323120001
-1	-0.68	-0.00168	-1	-0.68	66.0797422490002
-1	-0.67	-0.00167	-1	-0.67	66.0904976400002
-1	-0.66	-0.00166	-1	-0.66	66.1009114610001
-1	-0.65	-0.00165	-1	-0.65	66.1121178380001
-1	-0.64	-0.00164	-1	-0.64	66.123412959
-1	-0.63	-0.00163	-1	-0.63	66.1339446040001
-1	-0.62	-0.00162	-1	-0.62	66.1455806440001
-1	-0.61	-0.00161	-1	-0.61	66.1582786210001
-1	-0.6	-0.0016	-1	-0.6	66.1700923420001
-1	-0.59	-0.00159	-1	-0.59	66.1805165340002
-1	-0.58	-0.00158	-1	-0.58	66.191301135
-1	-0.57	-0.00157	-1	-0.57	66.2018222850002
-1	-0.56	-0.00156	-1	-0.56	66.2123507270001
-1	-0.55	-0.00155	-1	-0.55	66.2234337370001
-1	-0.54	-0.00154	-1	-0.54	66.2342323110001
-1	-0.53	-0.00153	-1	-0.53	66.2447564640001
-1	-0.52	-0.00152	-1	-0.52	66.2556119450001
-1	-0.51	-0.00151	-1	-0.51	66.266589885
-1	-0.5	-0.0015	-1	-0.5	66.278961922
-1	-0.49	-0.00149	-1	-0.49	66.289876564
-1	-0.48	-0.00148	-1	-0.48	66.3005749430001
-1	-0.47	-0.00147	-1	-0.47	66.3122763560002
-1	-0.46	-0.00146	-1	-0.46	66.3242762870002
-1	-0.45	-0.00145	-1	-0.45	66.3354099070002
-1	-0.44	-0.00144	-1	-0.44	66.346903352
-1	-0.43	-0.00143	-1	-0.43	66.3582368780001
-1	-0.42	-0.00142	-1	-0.42	66.3701490830001
-1	-0.41	-0.00141	-1	-0.41	66.3807394090002
-1	-0.4	-0.0014	-1	-0.4	66.3912809100002
-1	-0.39	-0.00139	-1	-0.39	66.403851842
-1	-0.38	-0.00138	-1	-0.38	66.4157205680001
-1	-0.37	-0.00137	-1	-0.37	66.4261371230002
-1	-0.36	-0.00136	-1	-0.36	66.4367158
-1	-0.35	-0.00135	-1	-0.35	66.446995256
-1	-0.34	-0.00134	-1	-0.34	66.4582803410001
-1	-0.33	-0.00133	-1	-0.33	66.470185743
-1	-0.32	-0.00132	-1	-0.32	66.480676335
-1	-0.31	-0.00131	-1	-0.31	66.491329787
-1	-0.3	-0.0013	-1	-0.3	66.5034081360002
-1	-0.29	-0.00129	-1	-0.29	66.5161846370002
-1	-0.28	-0.00128	-1	-0.28	66.5290436930002
-1	-0.27	-0.00127	-1	-0.27	66.539465369
-1	-0.26	-0.00126	-1	-0.26	66.551989711
-1	-0.25	-0.00125	-1	-0.25	66.5650027030001
-1	-0.24	-0.00124	-1	-0.24	66.575741565
-1	-0.23	-0.00123	-1	-0.23	66.5867790990001
-1	-0.22	-0.00122	-1	-0.22	66.5979407440002
-1	-0.21	-0.00121	-1	-0.21	66.6107924960002
-1	-0.2	-0.0012	-1	-0.2	66.6213729530002
-1	-0.19	-0.00119	-1	-0.19	66.6341815860001
-1	-0.18	-0.00118	-1	-0.18	66.6456997910002
-1	-0.17	-0.00117	-1	-0.17	66.6561550420001
-1	-0.16	-0.00116	-1	-0.16	66.6678889860002
-1	-0.15	-0.00115	-1	-0.15	66.6804215870002
-1	-0.14	-0.00114	-1	-0.14	66.6917621050002
-1	-0.13	-0.00113	-1	-0.13	66.703425703
-1	-0.12	-0.00112	-1	-0.12	66.7154076690001
-1	-0.11	-0.00111	-1	-0.11	66.7261274710002
-1	-0.1	-0.0011	-1	-0.1	66.7365643390001
-1	-0.09	-0.00109	-1	-0.09	66.7469179250002
-1	-0.08	-0.00108	-1	-0.08	66.758291479
-1	-0.07	-0.00107	-1	-0.07	66.770080363
-1	-0.0599999999999999	-0.00106	-1	-0.0599999999999999	66.7805089800001
-1	-0.0499999999999999	-0.00105	-1	-0.0499999999999999	66.7913274510001
-1	-0.04	-0.00104	-1	-0.04	66.8041888050002
-1	-0.03	-0.00103	-1	-0.03	66.81528282
-1	-0.02	-0.00102	-1	-0.02	66.8259648340002
-1	-0.01	-0.00101	-1	-0.01	66.838913689
-1	0	-0.001	-1	0	66.851716287
-1	0.01	-0.00099	-1	0.01	66.86383948
-1	0.02	-0.00098	-1	0.02	66.876270512
-1	0.03	-0.00097	-1	0.03	66.8869982250001
-1	0.04	-0.00096	-1	0.04	66.9000184830002
-1	0.05	-0.00095	-1	0.05	66.912298423
-1	0.0600000000000001	-0.00094	-1	0.0600000000000001	66.9231458640002
-1	0.0700000000000001	-0.00093	-1	0.0700000000000001	66.934566934
-1	0.0800000000000001	-0.00092	-1	0.0800000000000001	66.9463478130001
-1	0.0900000000000001	-0.00091	-1	0.0900000000000001	66.9567020260001
-1	0.1	-0.0009	-1	0.1	66.967471766
-1	0.11	-0.00089	-1	0.11	66.9789073090001
-1	0.12	-0.00088	-1	0.12	66.9900707160002
-1	0.13	-0.00087	-1	0.13	67.001513699
-1	0.14	-0.00086	-1	0.14	67.012312348
-1	0.15	-0.00085	-1	0.15	67.0234118410001
-1	0.16	-0.00084	-1	0.16	67.0351595480001
-1	0.17	-0.00083	-1	0.17	67.04601071
-1	0.18	-0.00082	-1	0.18	67.0564346620001
-1	0.19	-0.00081	-1	0.19	67.0680774890002
-1	0.2	-0.0008	-1	0.2	67.0799193550001
-1	0.21	-0.00079	-1	0.21	67.0927309780002
-1	0.22	-0.00078	-1	0.22	67.103388211
-1	0.23	-0.00077	-1	0.23	67.1156251750001
-1	0.24	-0.00076	-1	0.24	67.126330495
-1	0.25	-0.00075	-1	0.25	67.1389241470001
-1	0.26	-0.00074	-1	0.26	67.151399326
-1	0.27	-0.00073	-1	0.27	67.1623556650002
-1	0.28	-0.00072	-1	0.28	67.174553562
-1	0.29	-0.00071	-1	0.29	67.1851024950001
-1	0.3	-0.0007	-1	0.3	67.1972064610002
-1	0.31	-0.00069	-1	0.31	67.2099042220002
-1	0.32	-0.00068	-1	0.32	67.2223094410001
-1	0.33	-0.00067	-1	0.33	67.2342312610001
-1	0.34	-0.00066	-1	0.34	67.2467756370002
-1	0.35	-0.00065	-1	0.35	67.25766591
-1	0.36	-0.00064	-1	0.36	67.2701868860001
-1	0.37	-0.00063	-1	0.37	67.280636231
-1	0.38	-0.00062	-1	0.38	67.291820676
-1	0.39	-0.00061	-1	0.39	67.304128105
-1	0.4	-0.0006	-1	0.4	67.3165478570002
-1	0.41	-0.00059	-1	0.41	67.3289613880002
